Timestamp (UTC);Price (Eur/MWh)
01/01/2015 00:00;27.36
01/01/2015 01:00;27.24
01/01/2015 02:00;27.16
01/01/2015 03:00;27.15
01/01/2015 04:00;27.3
01/01/2015 05:00;27.46
01/01/2015 06:00;27.3
01/01/2015 07:00;27.41
01/01/2015 08:00;27.42
01/01/2015 09:00;27.47
01/01/2015 10:00;27.53
01/01/2015 11:00;27.52
01/01/2015 12:00;27.47
01/01/2015 13:00;27.47
01/01/2015 14:00;27.86
01/01/2015 15:00;28.4
01/01/2015 16:00;28.41
01/01/2015 17:00;28.28
01/01/2015 18:00;28.02
01/01/2015 19:00;27.81
01/01/2015 20:00;27.59
01/01/2015 21:00;27.52
01/01/2015 22:00;27.32
01/01/2015 23:00;27.16
02/01/2015 00:00;26.97
02/01/2015 01:00;26.8
02/01/2015 02:00;26.4
02/01/2015 03:00;25.82
02/01/2015 04:00;26.83
02/01/2015 05:00;27.74
02/01/2015 06:00;28.55
02/01/2015 07:00;28.56
02/01/2015 08:00;28.57
02/01/2015 09:00;28.57
02/01/2015 10:00;28.6
02/01/2015 11:00;28.51
02/01/2015 12:00;28.46
02/01/2015 13:00;28.39
02/01/2015 14:00;28.51
02/01/2015 15:00;28.75
02/01/2015 16:00;28.82
02/01/2015 17:00;28.62
02/01/2015 18:00;28.53
02/01/2015 19:00;28.19
02/01/2015 20:00;27.88
02/01/2015 21:00;27.69
02/01/2015 22:00;27.35
02/01/2015 23:00;26.55
03/01/2015 00:00;26.32
03/01/2015 01:00;26.22
03/01/2015 02:00;26.15
03/01/2015 03:00;26.09
03/01/2015 04:00;26.08
03/01/2015 05:00;26.29
03/01/2015 06:00;27.1
03/01/2015 07:00;27.27
03/01/2015 08:00;27.75
03/01/2015 09:00;27.92
03/01/2015 10:00;27.94
03/01/2015 11:00;27.9
03/01/2015 12:00;27.9
03/01/2015 13:00;28.01
03/01/2015 14:00;28.38
03/01/2015 15:00;28.79
03/01/2015 16:00;29.07
03/01/2015 17:00;29.07
03/01/2015 18:00;28.82
03/01/2015 19:00;28.45
03/01/2015 20:00;28.07
03/01/2015 21:00;27.89
03/01/2015 22:00;27.55
03/01/2015 23:00;27.72
04/01/2015 00:00;27.59
04/01/2015 01:00;27.4
